Bug ID,App Version,Module,Bug Description,Severity,Status,Occurrences,Time to Fix (days),Release Date,Report Date
BUG-1209,2.0.0,Payment Gateway,Invoice PDF generated with incorrect tax amounts,High,Reopened,18,50.8,2023-11-05,2023-11-08
BUG-1280,2.1.0,Notification System,SMS notifications sent to unverified phone numbers,Medium,Fixed,15,8.6,2024-02-28,2024-04-12
BUG-1033,1.0.0,Notification System,Real-time notifications delayed by 5 minutes during peak hours,Low,Fixed,5,3.5,2023-01-15,2023-02-11
BUG-1210,2.0.0,Authentication,Login page freezes on slow network connections,High,Reopened,11,38.8,2023-11-05,2023-12-22
BUG-1093,1.1.0,API Integration,API versioning not enforced for deprecated endpoints,High,Fixed,27,16.3,2023-04-10,2023-04-10
BUG-1084,1.1.0,Notification System,Bulk notification job times out for user base over 50k,Low,Fixed,5,3.4,2023-04-10,2023-06-17
BUG-1329,2.2.0,Authentication,JWT token not invalidated on logout,High,Fixed,31,19.8,2024-06-15,2024-06-28
BUG-1094,1.1.0,Notification System,Notification preferences not respected for critical alerts,Medium,Fixed,6,7.7,2023-04-10,2023-06-23
BUG-1266,2.0.0,Dashboard,KPI cards show NaN when denominator is zero,High,Fixed,15,16.4,2023-11-05,2024-01-29
BUG-1126,1.2.0,Search Engine,Filters not applied when navigating back from detail page,High,Fixed,10,24.3,2023-07-20,2023-08-20
BUG-1009,1.0.0,Reporting,Comparative report percentages exceed 100% due to rounding,Medium,Fixed,12,5.1,2023-01-15,2023-01-23
BUG-1361,2.2.0,Data Analytics,Funnel visualization missing intermediate steps,Low,Fixed,3,3.7,2024-06-15,2024-08-08
BUG-1056,1.0.0,Payment Gateway,3D Secure authentication not triggered for high-value orders,High,Reopened,12,50.3,2023-01-15,2023-02-14
BUG-1072,1.1.0,User Profile,Profile deletion does not remove associated data,Low,Open,2,12.2,2023-04-10,2023-06-19
BUG-1132,1.2.0,Payment Gateway,3D Secure authentication not triggered for high-value orders,High,Fixed,23,9.3,2023-07-20,2023-08-27
BUG-1042,1.0.0,Search Engine,Filters not applied when navigating back from detail page,Medium,Fixed,4,10.2,2023-01-15,2023-03-01
BUG-1278,2.1.0,User Profile,Profile completeness percentage calculated incorrectly,Low,Open,1,11.7,2024-02-28,2024-04-02
BUG-1376,2.2.0,Data Analytics,Export to CSV truncates rows beyond 10000 records,Medium,Fixed,11,9.0,2024-06-15,2024-07-23
BUG-1231,2.0.0,Authentication,Remember me functionality fails after browser restart,High,Fixed,15,17.5,2023-11-05,2024-01-30
BUG-1385,2.2.0,Dashboard,Widget layout not saved across browser sessions,Low,Fixed,1,4.1,2024-06-15,2024-07-23
BUG-1077,1.1.0,Payment Gateway,Stripe webhook not received for failed payments,High,Fixed,34,29.4,2023-04-10,2023-04-29
BUG-1015,1.0.0,Dashboard,Dashboard loads blank on first visit after cache clear,Medium,Fixed,13,6.6,2023-01-15,2023-01-22
BUG-1391,2.2.0,Reporting,Comparative report percentages exceed 100% due to rounding,Low,Fixed,5,1.2,2024-06-15,2024-06-18
BUG-1271,2.1.0,Reporting,Report query timeout causes partial data to be displayed,Low,Fixed,5,1.2,2024-02-28,2024-05-22
BUG-1000,1.0.0,Authentication,Remember me functionality fails after browser restart,Medium,Reopened,6,17.1,2023-01-15,2023-01-28
BUG-1396,2.2.0,Authentication,OAuth2 callback URL mismatch causing login failure,High,Fixed,36,16.6,2024-06-15,2024-08-13
BUG-1114,1.1.0,Dashboard,Dashboard sharing link expires too quickly,High,Fixed,34,8.4,2023-04-10,2023-06-02
BUG-1225,2.0.0,Data Analytics,Custom report builder crashes on nested group-by,High,Fixed,13,27.9,2023-11-05,2023-12-16
BUG-1262,2.0.0,Data Analytics,Metric comparison period calculation uses wrong formula,High,Fixed,28,22.3,2023-11-05,2023-12-22
BUG-1104,1.1.0,Dashboard,Dashboard sharing link expires too quickly,Low,Fixed,1,4.3,2023-04-10,2023-04-25
BUG-1395,2.2.0,File Upload,Upload progress bar resets to zero on network interruption,Low,Fixed,4,2.8,2024-06-15,2024-06-24
BUG-1193,1.2.0,File Upload,Upload progress bar resets to zero on network interruption,Medium,Fixed,10,9.1,2023-07-20,2023-09-07
BUG-1261,2.0.0,API Integration,API timeout set to 30s but client receives 10s error,High,Reopened,37,42.0,2023-11-05,2023-11-17
BUG-1057,1.0.0,API Integration,Webhook signature verification fails intermittently,High,Reopened,23,47.4,2023-01-15,2023-01-20
BUG-1232,2.0.0,Notification System,Notification history not paginated correctly,High,Fixed,32,25.9,2023-11-05,2023-12-22
BUG-1116,1.1.0,API Integration,Authentication token refresh race condition causes 401,Medium,Fixed,3,13.4,2023-04-10,2023-05-18
BUG-1113,1.1.0,User Profile,Address fields accept invalid postal codes,High,Fixed,12,16.5,2023-04-10,2023-05-22
BUG-1342,2.2.0,Reporting,Chart annotations not included in exported images,High,Fixed,9,21.5,2024-06-15,2024-08-27
BUG-1158,1.2.0,Data Analytics,Custom report builder crashes on nested group-by,Medium,Fixed,3,5.8,2023-07-20,2023-09-19
BUG-1141,1.2.0,Reporting,Report query timeout causes partial data to be displayed,Medium,Open,13,19.3,2023-07-20,2023-07-23
BUG-1381,2.2.0,File Upload,Download speed throttled unintentionally for free tier users,Low,Fixed,4,5.6,2024-06-15,2024-08-27
BUG-1055,1.0.0,User Profile,Profile picture upload fails for images larger than 2MB,Low,Fixed,5,1.5,2023-01-15,2023-02-07
BUG-1076,1.1.0,Data Analytics,Dashboard metrics show incorrect date range on load,Low,Fixed,3,2.3,2023-04-10,2023-05-11
BUG-1025,1.0.0,Payment Gateway,Card validation fails for valid Amex cards,High,Reopened,35,34.7,2023-01-15,2023-01-15
BUG-1082,1.1.0,Data Analytics,Funnel visualization missing intermediate steps,Low,Reopened,2,8.6,2023-04-10,2023-07-03
BUG-1382,2.2.0,Payment Gateway,Refund processing fails for orders older than 90 days,Low,Fixed,3,4.9,2024-06-15,2024-08-11
BUG-1148,1.2.0,Reporting,Comparative report percentages exceed 100% due to rounding,Medium,Fixed,10,9.1,2023-07-20,2023-09-02
BUG-1181,1.2.0,File Upload,Thumbnail generation fails for HEIC image format,Medium,Fixed,9,6.7,2023-07-20,2023-10-13
BUG-1022,1.0.0,User Profile,Email update requires re-verification on each login,Low,Fixed,4,4.6,2023-01-15,2023-03-05
BUG-1173,1.2.0,File Upload,Virus scanning blocks legitimate PDF documents,Medium,Open,10,23.6,2023-07-20,2023-10-17
BUG-1046,1.0.0,API Integration,API versioning not enforced for deprecated endpoints,High,Fixed,25,17.6,2023-01-15,2023-01-24
BUG-1321,2.1.0,Dashboard,Widget layout not saved across browser sessions,Low,Fixed,3,6.3,2024-02-28,2024-05-17
BUG-1338,2.2.0,Notification System,SMS notifications sent to unverified phone numbers,Low,Fixed,2,4.3,2024-06-15,2024-08-31
BUG-1070,1.1.0,Dashboard,Dashboard sharing link expires too quickly,High,Fixed,24,27.8,2023-04-10,2023-04-16
BUG-1374,2.2.0,Search Engine,Filters not applied when navigating back from detail page,High,Fixed,16,26.6,2024-06-15,2024-08-11
BUG-1039,1.0.0,Payment Gateway,PayPal integration breaks on sandbox environment,Medium,Fixed,6,6.1,2023-01-15,2023-03-18
BUG-1223,2.0.0,Reporting,Report template variables not escaped in output,High,Fixed,16,21.4,2023-11-05,2024-01-24
BUG-1172,1.2.0,Notification System,Notification history not paginated correctly,Medium,Fixed,14,12.1,2023-07-20,2023-08-25
BUG-1030,1.0.0,Notification System,SMS notifications sent to unverified phone numbers,Medium,Fixed,3,5.6,2023-01-15,2023-03-28
BUG-1152,1.2.0,User Profile,Address fields accept invalid postal codes,Medium,Reopened,6,24.3,2023-07-20,2023-08-24
BUG-1124,1.2.0,Notification System,Unsubscribe link in emails leads to 404 page,High,Reopened,24,55.0,2023-07-20,2023-09-18
BUG-1294,2.1.0,Data Analytics,Real-time chart not updated when new data arrives,Low,Fixed,3,5.7,2024-02-28,2024-03-08
BUG-1255,2.0.0,Authentication,JWT token not invalidated on logout,High,Fixed,33,16.8,2023-11-05,2023-11-18
BUG-1078,1.1.0,Search Engine,Autocomplete suggestions include deleted items,Medium,Fixed,15,11.9,2023-04-10,2023-06-01
BUG-1101,1.1.0,Reporting,Column sorting in table report resets on export,Low,Reopened,4,10.5,2023-04-10,2023-05-11
BUG-1031,1.0.0,Payment Gateway,Currency conversion rounding error in checkout,High,Fixed,39,25.8,2023-01-15,2023-03-24
BUG-1352,2.2.0,User Profile,Username change not reflected across all pages,Low,Reopened,4,7.3,2024-06-15,2024-07-10
BUG-1268,2.1.0,Reporting,Chart annotations not included in exported images,High,Fixed,21,10.6,2024-02-28,2024-04-29
BUG-1394,2.2.0,File Upload,Download speed throttled unintentionally for free tier users,Medium,Reopened,7,23.0,2024-06-15,2024-07-23
BUG-1073,1.1.0,API Integration,API response schema changes break older client versions,High,Fixed,8,9.6,2023-04-10,2023-07-07
BUG-1320,2.1.0,Payment Gateway,Card validation fails for valid Amex cards,Low,Fixed,1,4.0,2024-02-28,2024-05-07
BUG-1140,1.2.0,Payment Gateway,Card validation fails for valid Amex cards,High,Fixed,36,12.6,2023-07-20,2023-09-17
BUG-1005,1.0.0,API Integration,API timeout set to 30s but client receives 10s error,Low,Reopened,3,8.1,2023-01-15,2023-02-27
BUG-1045,1.0.0,Search Engine,Search indexing lag causes stale results up to 30 minutes,Low,Fixed,2,4.2,2023-01-15,2023-02-01
BUG-1388,2.2.0,Search Engine,Search results not updated after product price change,Low,Fixed,3,1.8,2024-06-15,2024-07-23
BUG-1246,2.0.0,Search Engine,Typo correction overrides intentional user input,Medium,Fixed,6,11.9,2023-11-05,2023-12-04
BUG-1227,2.0.0,Data Analytics,Heatmap colors inverted for negative values,Low,Fixed,5,6.5,2023-11-05,2023-11-26
BUG-1369,2.2.0,Data Analytics,Data refresh spinner never stops on error state,Medium,Fixed,15,3.8,2024-06-15,2024-07-02
BUG-1176,1.2.0,Reporting,Report template variables not escaped in output,Medium,Fixed,3,4.0,2023-07-20,2023-10-14
BUG-1289,2.1.0,Reporting,Scheduled report sent to deactivated email accounts,Medium,Fixed,12,7.4,2024-02-28,2024-05-19
BUG-1003,1.0.0,Dashboard,Dashboard loads blank on first visit after cache clear,Low,Fixed,5,3.5,2023-01-15,2023-03-13
BUG-1018,1.0.0,API Integration,Authentication token refresh race condition causes 401,Medium,Open,5,17.7,2023-01-15,2023-02-15
BUG-1202,2.0.0,Dashboard,Dark mode toggle resets to light on page refresh,Low,Reopened,3,13.1,2023-11-05,2023-12-31
BUG-1250,2.0.0,Reporting,Comparative report percentages exceed 100% due to rounding,Medium,Fixed,3,4.9,2023-11-05,2023-11-11
BUG-1274,2.1.0,Reporting,Scheduled report sent to deactivated email accounts,Medium,Fixed,4,4.6,2024-02-28,2024-05-19
BUG-1063,1.1.0,Dashboard,Dashboard loads blank on first visit after cache clear,Medium,Fixed,11,5.9,2023-04-10,2023-05-24
BUG-1248,2.0.0,Notification System,In-app notification badge count not reset after reading,Medium,Open,5,21.6,2023-11-05,2023-11-27
BUG-1301,2.1.0,File Upload,Concurrent uploads from same user cause file corruption,Low,Open,3,11.1,2024-02-28,2024-04-13
BUG-1108,1.1.0,File Upload,File type validation bypassed with double extension trick,Medium,Fixed,14,12.5,2023-04-10,2023-06-06
BUG-1090,1.1.0,Data Analytics,Scheduled report delivery fails on weekends,Medium,Fixed,8,10.3,2023-04-10,2023-04-25
BUG-1233,2.0.0,Payment Gateway,Payment confirmation email delayed by over 10 minutes,Medium,Reopened,10,14.4,2023-11-05,2024-01-15
BUG-1335,2.2.0,Payment Gateway,Stripe webhook not received for failed payments,Medium,Reopened,15,16.0,2024-06-15,2024-06-19
BUG-1118,1.2.0,File Upload,Upload progress bar resets to zero on network interruption,Medium,Open,7,20.1,2023-07-20,2023-07-23
BUG-1220,2.0.0,Authentication,LDAP integration returns incorrect user roles,Low,Reopened,3,7.1,2023-11-05,2024-01-31
BUG-1180,1.2.0,Reporting,Scheduled report sent to deactivated email accounts,Medium,Fixed,13,12.0,2023-07-20,2023-07-31
BUG-1314,2.1.0,User Profile,Notification preferences reset after profile save,Low,Fixed,3,6.8,2024-02-28,2024-05-27
BUG-1373,2.2.0,File Upload,Upload progress bar resets to zero on network interruption,Medium,Fixed,12,6.1,2024-06-15,2024-08-16
BUG-1380,2.2.0,User Profile,Profile completeness percentage calculated incorrectly,Low,Fixed,1,1.4,2024-06-15,2024-08-04
BUG-1239,2.0.0,API Integration,Webhook signature verification fails intermittently,High,Fixed,39,21.2,2023-11-05,2023-12-10
BUG-1075,1.1.0,Dashboard,Drag and drop widget rearrangement breaks on mobile,High,Fixed,35,9.9,2023-04-10,2023-05-19
BUG-1247,2.0.0,Data Analytics,Custom report builder crashes on nested group-by,Medium,Fixed,15,12.9,2023-11-05,2023-11-05
BUG-1110,1.1.0,File Upload,Upload progress bar resets to zero on network interruption,Medium,Fixed,7,7.8,2023-04-10,2023-05-16
BUG-1016,1.0.0,Search Engine,Search returns no results for exact product name match,Low,Reopened,3,9.8,2023-01-15,2023-01-23
BUG-1066,1.1.0,Dashboard,Widget layout not saved across browser sessions,Low,Fixed,5,2.8,2023-04-10,2023-07-03
BUG-1153,1.2.0,Reporting,Chart annotations not included in exported images,Medium,Fixed,12,6.1,2023-07-20,2023-08-01
BUG-1007,1.0.0,Reporting,Report template variables not escaped in output,Low,Fixed,1,5.4,2023-01-15,2023-03-24
BUG-1019,1.0.0,Dashboard,Embedded dashboard iframe resizes incorrectly,Medium,Fixed,7,11.2,2023-01-15,2023-03-10
BUG-1137,1.2.0,User Profile,Timezone setting ignored in activity timestamps,Medium,Fixed,5,11.1,2023-07-20,2023-10-11
BUG-1355,2.2.0,Search Engine,Boolean operators AND/OR not supported in query string,High,Fixed,30,26.8,2024-06-15,2024-06-21
BUG-1349,2.2.0,Data Analytics,Real-time chart not updated when new data arrives,Low,Fixed,1,5.6,2024-06-15,2024-07-27
BUG-1131,1.2.0,Reporting,Scheduled report sent to deactivated email accounts,Low,Fixed,4,6.6,2023-07-20,2023-08-14
BUG-1387,2.2.0,Data Analytics,Heatmap colors inverted for negative values,High,Fixed,26,26.5,2024-06-15,2024-07-17
BUG-1292,2.1.0,Payment Gateway,Subscription renewal does not apply discount codes,High,Fixed,14,12.6,2024-02-28,2024-05-13
BUG-1386,2.2.0,User Profile,Email update requires re-verification on each login,Low,Fixed,3,6.6,2024-06-15,2024-07-13
BUG-1297,2.1.0,Search Engine,Autocomplete suggestions include deleted items,High,Fixed,17,24.5,2024-02-28,2024-05-21
BUG-1060,1.0.0,Search Engine,Boolean operators AND/OR not supported in query string,High,Reopened,33,33.9,2023-01-15,2023-04-07
BUG-1079,1.1.0,Authentication,OAuth2 callback URL mismatch causing login failure,Medium,Reopened,14,26.9,2023-04-10,2023-06-01
BUG-1285,2.1.0,Authentication,JWT token not invalidated on logout,High,Reopened,35,35.3,2024-02-28,2024-04-16
BUG-1305,2.1.0,Dashboard,Widget layout not saved across browser sessions,Low,Fixed,4,6.5,2024-02-28,2024-05-11
BUG-1281,2.1.0,API Integration,Webhook signature verification fails intermittently,Low,Open,3,11.7,2024-02-28,2024-05-13
BUG-1157,1.2.0,Payment Gateway,Duplicate charges on retry after network timeout,High,Fixed,26,17.8,2023-07-20,2023-09-14
BUG-1109,1.1.0,Notification System,SMS notifications sent to unverified phone numbers,Medium,Reopened,13,17.9,2023-04-10,2023-06-15
BUG-1017,1.0.0,Search Engine,Typo correction overrides intentional user input,High,Reopened,28,36.4,2023-01-15,2023-03-19
BUG-1347,2.2.0,Authentication,LDAP integration returns incorrect user roles,Low,Fixed,4,1.3,2024-06-15,2024-08-03
BUG-1024,1.0.0,Authentication,Password reset email not sent to registered users,High,Fixed,25,24.7,2023-01-15,2023-02-27
BUG-1175,1.2.0,Payment Gateway,3D Secure authentication not triggered for high-value orders,High,Reopened,10,56.7,2023-07-20,2023-08-30
BUG-1351,2.2.0,User Profile,Bio field strips HTML entities incorrectly,Medium,Fixed,14,8.3,2024-06-15,2024-07-08
BUG-1332,2.2.0,Payment Gateway,Payment confirmation email delayed by over 10 minutes,Medium,Fixed,10,12.7,2024-06-15,2024-06-18
BUG-1167,1.2.0,API Integration,Authentication token refresh race condition causes 401,Low,Open,5,10.3,2023-07-20,2023-07-24
BUG-1245,2.0.0,Reporting,Column sorting in table report resets on export,Medium,Fixed,4,12.1,2023-11-05,2024-01-14
BUG-1311,2.1.0,Data Analytics,Export to CSV truncates rows beyond 10000 records,Medium,Fixed,8,4.0,2024-02-28,2024-05-24
BUG-1145,1.2.0,Payment Gateway,Payment confirmation email delayed by over 10 minutes,Low,Open,4,10.4,2023-07-20,2023-08-19
BUG-1258,2.0.0,Reporting,Chart annotations not included in exported images,Medium,Fixed,14,6.6,2023-11-05,2024-01-20
BUG-1177,1.2.0,Reporting,Report query timeout causes partial data to be displayed,Low,Fixed,1,7.0,2023-07-20,2023-10-14
BUG-1119,1.2.0,API Integration,API timeout set to 30s but client receives 10s error,High,Fixed,33,23.7,2023-07-20,2023-09-17
BUG-1194,1.2.0,Search Engine,Typo correction overrides intentional user input,High,Reopened,40,52.4,2023-07-20,2023-08-06
BUG-1229,2.0.0,Payment Gateway,Invoice PDF generated with incorrect tax amounts,Low,Fixed,1,1.8,2023-11-05,2023-12-03
BUG-1265,2.0.0,User Profile,Account deactivation still allows API access,High,Reopened,11,47.6,2023-11-05,2024-01-15
BUG-1218,2.0.0,API Integration,Authentication token refresh race condition causes 401,Low,Reopened,1,8.7,2023-11-05,2024-01-17
BUG-1307,2.1.0,Authentication,JWT token not invalidated on logout,High,Reopened,14,54.3,2024-02-28,2024-04-11
BUG-1036,1.0.0,Payment Gateway,Stripe webhook not received for failed payments,Low,Reopened,1,11.1,2023-01-15,2023-02-13
BUG-1139,1.2.0,File Upload,Uploaded files not accessible after S3 bucket policy change,High,Fixed,25,14.4,2023-07-20,2023-08-20
BUG-1291,2.1.0,User Profile,Profile completeness percentage calculated incorrectly,Medium,Fixed,10,12.2,2024-02-28,2024-04-14
BUG-1155,1.2.0,Authentication,Brute force protection blocks legitimate users,Medium,Open,5,17.8,2023-07-20,2023-07-26
BUG-1196,2.0.0,Authentication,Remember me functionality fails after browser restart,Medium,Reopened,14,18.2,2023-11-05,2024-01-19
BUG-1284,2.1.0,Search Engine,Autocomplete suggestions include deleted items,High,Fixed,24,13.7,2024-02-28,2024-03-14
BUG-1059,1.0.0,Dashboard,KPI cards show NaN when denominator is zero,High,Fixed,24,11.7,2023-01-15,2023-02-24
BUG-1111,1.1.0,Search Engine,Boolean operators AND/OR not supported in query string,Low,Fixed,3,2.9,2023-04-10,2023-06-18
BUG-1165,1.2.0,Search Engine,Search indexing lag causes stale results up to 30 minutes,Medium,Fixed,7,10.3,2023-07-20,2023-08-09
BUG-1363,2.2.0,Reporting,Scheduled report sent to deactivated email accounts,Low,Fixed,3,4.8,2024-06-15,2024-06-22
BUG-1006,1.0.0,Payment Gateway,Currency conversion rounding error in checkout,High,Fixed,32,9.2,2023-01-15,2023-02-28
BUG-1333,2.2.0,API Integration,Rate limiting headers not returned in API responses,Medium,Fixed,9,8.5,2024-06-15,2024-07-15
BUG-1275,2.1.0,Authentication,Password reset email not sent to registered users,High,Reopened,21,41.3,2024-02-28,2024-04-26
BUG-1150,1.2.0,Notification System,Notification preferences not respected for critical alerts,Low,Fixed,3,2.4,2023-07-20,2023-08-13
BUG-1010,1.0.0,Authentication,Two-factor authentication code not validated correctly,High,Fixed,26,29.7,2023-01-15,2023-02-13
BUG-1192,1.2.0,Notification System,Real-time notifications delayed by 5 minutes during peak hours,Medium,Fixed,14,6.0,2023-07-20,2023-09-19
BUG-1103,1.1.0,API Integration,CORS headers missing for cross-origin requests,Low,Fixed,2,5.8,2023-04-10,2023-07-08
BUG-1081,1.1.0,API Integration,Rate limiting headers not returned in API responses,High,Fixed,38,12.1,2023-04-10,2023-06-07
BUG-1316,2.1.0,Data Analytics,Custom report builder crashes on nested group-by,Medium,Fixed,13,10.7,2024-02-28,2024-05-25
BUG-1398,2.2.0,Data Analytics,Metric comparison period calculation uses wrong formula,High,Fixed,16,24.5,2024-06-15,2024-08-19
BUG-1375,2.2.0,User Profile,Bio field strips HTML entities incorrectly,Low,Reopened,1,12.7,2024-06-15,2024-07-25
BUG-1208,2.0.0,Notification System,SMS notifications sent to unverified phone numbers,Low,Fixed,1,3.6,2023-11-05,2023-11-17
BUG-1286,2.1.0,Dashboard,Dashboard loads blank on first visit after cache clear,Low,Fixed,5,4.4,2024-02-28,2024-05-23
BUG-1168,1.2.0,Search Engine,Boolean operators AND/OR not supported in query string,High,Fixed,26,23.2,2023-07-20,2023-09-16
BUG-1353,2.2.0,Authentication,Two-factor authentication code not validated correctly,Medium,Reopened,3,18.4,2024-06-15,2024-07-24
BUG-1089,1.1.0,API Integration,Rate limiting headers not returned in API responses,High,Fixed,20,15.4,2023-04-10,2023-04-18
BUG-1377,2.2.0,User Profile,Email update requires re-verification on each login,Low,Fixed,3,4.1,2024-06-15,2024-06-30
BUG-1163,1.2.0,File Upload,File rename on upload strips special characters incorrectly,Medium,Fixed,7,12.5,2023-07-20,2023-09-12
BUG-1147,1.2.0,Notification System,SMS notifications sent to unverified phone numbers,Low,Fixed,4,5.2,2023-07-20,2023-08-28
BUG-1228,2.0.0,Notification System,Notification template variables not replaced in subject line,Low,Fixed,3,5.5,2023-11-05,2023-12-18
BUG-1092,1.1.0,API Integration,Pagination cursor invalidated after record deletion,Medium,Fixed,11,4.4,2023-04-10,2023-06-02
BUG-1069,1.1.0,Data Analytics,Real-time chart not updated when new data arrives,Medium,Reopened,13,22.9,2023-04-10,2023-05-13
BUG-1123,1.2.0,Search Engine,Pagination breaks when search query contains special characters,Medium,Reopened,8,18.7,2023-07-20,2023-09-06
BUG-1096,1.1.0,Search Engine,Search results not updated after product price change,High,Fixed,38,25.3,2023-04-10,2023-05-01
BUG-1143,1.2.0,Notification System,Bulk notification job times out for user base over 50k,Medium,Fixed,7,12.7,2023-07-20,2023-10-17
BUG-1326,2.1.0,Search Engine,Fuzzy search returns irrelevant results for short terms,Medium,Fixed,13,13.4,2024-02-28,2024-04-24
BUG-1097,1.1.0,Payment Gateway,Card validation fails for valid Amex cards,Medium,Fixed,11,10.3,2023-04-10,2023-06-28
BUG-1238,2.0.0,Dashboard,Print view cuts off right side of charts,Low,Fixed,5,5.5,2023-11-05,2023-11-24
BUG-1068,1.1.0,Dashboard,Drag and drop widget rearrangement breaks on mobile,Medium,Fixed,7,6.1,2023-04-10,2023-05-06
BUG-1023,1.0.0,API Integration,GraphQL mutation returns 200 on database constraint error,Medium,Fixed,10,8.8,2023-01-15,2023-03-26
BUG-1037,1.0.0,Reporting,Column sorting in table report resets on export,Medium,Fixed,3,3.8,2023-01-15,2023-04-05
BUG-1144,1.2.0,Notification System,Real-time notifications delayed by 5 minutes during peak hours,Low,Fixed,1,4.1,2023-07-20,2023-08-13
BUG-1122,1.2.0,File Upload,File type validation bypassed with double extension trick,Low,Reopened,1,8.8,2023-07-20,2023-08-30
BUG-1182,1.2.0,Payment Gateway,Refund processing fails for orders older than 90 days,High,Fixed,29,16.5,2023-07-20,2023-09-21
BUG-1067,1.1.0,Payment Gateway,Refund processing fails for orders older than 90 days,High,Fixed,24,9.7,2023-04-10,2023-04-23
BUG-1198,2.0.0,Data Analytics,Cohort analysis calculation off by one day,High,Fixed,32,17.5,2023-11-05,2023-12-16
BUG-1324,2.1.0,Data Analytics,Real-time chart not updated when new data arrives,High,Fixed,36,21.0,2024-02-28,2024-04-25
BUG-1219,2.0.0,Data Analytics,Scheduled report delivery fails on weekends,Medium,Open,7,27.9,2023-11-05,2023-12-12
BUG-1317,2.1.0,Dashboard,Date picker defaults to wrong timezone for UTC users,Low,Fixed,4,4.1,2024-02-28,2024-03-01
BUG-1195,1.2.0,Payment Gateway,Card validation fails for valid Amex cards,High,Fixed,34,14.8,2023-07-20,2023-09-22
BUG-1125,1.2.0,Authentication,Brute force protection blocks legitimate users,Medium,Fixed,3,14.0,2023-07-20,2023-09-02
BUG-1146,1.2.0,File Upload,File rename on upload strips special characters incorrectly,High,Fixed,36,25.2,2023-07-20,2023-07-31
BUG-1371,2.2.0,Search Engine,Filters not applied when navigating back from detail page,Medium,Fixed,3,11.1,2024-06-15,2024-08-17
BUG-1086,1.1.0,User Profile,Profile completeness percentage calculated incorrectly,Medium,Fixed,7,3.4,2023-04-10,2023-06-25
BUG-1336,2.2.0,Notification System,Notification template variables not replaced in subject line,Low,Fixed,2,5.6,2024-06-15,2024-08-14
BUG-1340,2.2.0,Notification System,Email digest sends duplicate notifications for same event,High,Fixed,11,12.5,2024-06-15,2024-09-04
BUG-1337,2.2.0,File Upload,File preview not shown for Excel files with macros,Medium,Reopened,3,26.7,2024-06-15,2024-06-17
BUG-1354,2.2.0,Dashboard,Print view cuts off right side of charts,Low,Fixed,5,3.8,2024-06-15,2024-06-19
BUG-1334,2.2.0,API Integration,Webhook signature verification fails intermittently,Low,Fixed,3,2.3,2024-06-15,2024-07-25
