Bug ID,App Version,Module,Bug Description,Severity,Status,Occurrences,Time to Fix (days),Release Date,Report Date
BUG-1302,2.1.0,Dashboard,Date picker defaults to wrong timezone for UTC users,Low,Fixed,3,3.8,2024-02-28,2024-03-03
BUG-1183,1.2.0,Notification System,Unsubscribe link in emails leads to 404 page,High,Reopened,10,43.6,2023-07-20,2023-08-29
BUG-1203,2.0.0,Payment Gateway,PayPal integration breaks on sandbox environment,Medium,Open,10,14.2,2023-11-05,2023-11-23
BUG-1283,2.1.0,API Integration,GraphQL mutation returns 200 on database constraint error,Medium,Fixed,3,3.1,2024-02-28,2024-04-06
BUG-1211,2.0.0,API Integration,API versioning not enforced for deprecated endpoints,Low,Fixed,2,4.2,2023-11-05,2024-01-16
BUG-1282,2.1.0,File Upload,Download speed throttled unintentionally for free tier users,Medium,Fixed,13,6.4,2024-02-28,2024-03-27
BUG-1129,1.2.0,Data Analytics,Custom report builder crashes on nested group-by,Medium,Open,12,22.5,2023-07-20,2023-08-03
BUG-1038,1.0.0,Authentication,Two-factor authentication code not validated correctly,High,Open,12,57.2,2023-01-15,2023-02-26
BUG-1011,1.0.0,Payment Gateway,Subscription renewal does not apply discount codes,Medium,Fixed,7,8.0,2023-01-15,2023-03-02
BUG-1325,2.1.0,Search Engine,Search results not updated after product price change,Low,Fixed,2,2.9,2024-02-28,2024-04-28
BUG-1185,1.2.0,Dashboard,Widget layout not saved across browser sessions,Low,Open,5,10.2,2023-07-20,2023-07-26
BUG-1222,2.0.0,Search Engine,Typo correction overrides intentional user input,High,Reopened,30,36.6,2023-11-05,2023-11-29
BUG-1112,1.1.0,Payment Gateway,Refund processing fails for orders older than 90 days,Medium,Fixed,5,5.5,2023-04-10,2023-07-07
BUG-1179,1.2.0,File Upload,Download speed throttled unintentionally for free tier users,High,Fixed,36,28.1,2023-07-20,2023-08-12
BUG-1327,2.1.0,File Upload,Concurrent uploads from same user cause file corruption,Medium,Fixed,15,7.2,2024-02-28,2024-05-05
BUG-1299,2.1.0,Reporting,Report access control does not inherit parent folder permissions,Low,Open,5,11.5,2024-02-28,2024-05-17
BUG-1117,1.2.0,API Integration,API response schema changes break older client versions,Low,Reopened,5,12.6,2023-07-20,2023-08-17
BUG-1368,2.2.0,Reporting,Report scheduling UI does not show next run time,Medium,Fixed,13,7.9,2024-06-15,2024-08-01
BUG-1277,2.1.0,Reporting,Report query timeout causes partial data to be displayed,High,Fixed,13,27.3,2024-02-28,2024-03-18
BUG-1384,2.2.0,Reporting,Report scheduling UI does not show next run time,Medium,Fixed,15,13.6,2024-06-15,2024-08-09
BUG-1287,2.1.0,Data Analytics,Export to CSV truncates rows beyond 10000 records,High,Reopened,33,55.9,2024-02-28,2024-03-04
BUG-1362,2.2.0,User Profile,Bio field strips HTML entities incorrectly,Medium,Fixed,8,7.9,2024-06-15,2024-07-30
BUG-1164,1.2.0,Notification System,Notification history not paginated correctly,Medium,Fixed,12,3.7,2023-07-20,2023-08-01
BUG-1253,2.0.0,Payment Gateway,Invoice PDF generated with incorrect tax amounts,High,Reopened,40,36.6,2023-11-05,2024-01-22
BUG-1136,1.2.0,Payment Gateway,Subscription renewal does not apply discount codes,High,Reopened,31,49.1,2023-07-20,2023-09-16
BUG-1154,1.2.0,Search Engine,Boolean operators AND/OR not supported in query string,High,Fixed,22,15.3,2023-07-20,2023-08-27
BUG-1199,2.0.0,Search Engine,Search indexing lag causes stale results up to 30 minutes,High,Fixed,32,12.4,2023-11-05,2023-12-27
BUG-1197,2.0.0,Reporting,Report access control does not inherit parent folder permissions,Medium,Reopened,5,20.3,2023-11-05,2024-01-05
BUG-1392,2.2.0,Payment Gateway,Duplicate charges on retry after network timeout,Medium,Reopened,13,24.8,2024-06-15,2024-07-18
BUG-1002,1.0.0,Payment Gateway,Payment confirmation email delayed by over 10 minutes,Medium,Fixed,6,8.6,2023-01-15,2023-01-18
BUG-1204,2.0.0,API Integration,API versioning not enforced for deprecated endpoints,High,Open,12,44.1,2023-11-05,2023-12-08
BUG-1115,1.1.0,API Integration,GraphQL mutation returns 200 on database constraint error,High,Fixed,9,26.7,2023-04-10,2023-06-22
BUG-1234,2.0.0,Data Analytics,Scheduled report delivery fails on weekends,Low,Reopened,2,11.5,2023-11-05,2024-01-25
BUG-1237,2.0.0,Dashboard,Drag and drop widget rearrangement breaks on mobile,Medium,Reopened,9,20.4,2023-11-05,2024-01-29
BUG-1026,1.0.0,Notification System,Real-time notifications delayed by 5 minutes during peak hours,High,Reopened,19,45.2,2023-01-15,2023-01-28
BUG-1120,1.2.0,User Profile,Profile completeness percentage calculated incorrectly,High,Reopened,9,57.2,2023-07-20,2023-10-03
BUG-1357,2.2.0,API Integration,Authentication token refresh race condition causes 401,Medium,Reopened,9,18.7,2024-06-15,2024-07-08
BUG-1224,2.0.0,Authentication,Remember me functionality fails after browser restart,Medium,Open,15,20.2,2023-11-05,2024-01-18
BUG-1360,2.2.0,User Profile,Account deactivation still allows API access,High,Fixed,26,14.4,2024-06-15,2024-06-25
BUG-1378,2.2.0,Search Engine,Autocomplete suggestions include deleted items,Medium,Fixed,6,11.7,2024-06-15,2024-06-18
BUG-1350,2.2.0,User Profile,Profile picture upload fails for images larger than 2MB,Medium,Open,8,21.6,2024-06-15,2024-09-05
BUG-1379,2.2.0,Data Analytics,Heatmap colors inverted for negative values,High,Reopened,31,44.0,2024-06-15,2024-08-24
BUG-1127,1.2.0,Search Engine,Search returns no results for exact product name match,Low,Fixed,5,1.9,2023-07-20,2023-08-05
BUG-1074,1.1.0,User Profile,Account deactivation still allows API access,Low,Fixed,1,6.0,2023-04-10,2023-06-23
BUG-1322,2.1.0,User Profile,Profile completeness percentage calculated incorrectly,Low,Reopened,4,8.1,2024-02-28,2024-03-22
BUG-1029,1.0.0,Data Analytics,Data refresh spinner never stops on error state,Low,Fixed,1,1.7,2023-01-15,2023-03-02
BUG-1083,1.1.0,Search Engine,Category filter resets when sorting is changed,Medium,Fixed,8,6.1,2023-04-10,2023-04-18
BUG-1389,2.2.0,Reporting,Chart annotations not included in exported images,Medium,Fixed,4,8.5,2024-06-15,2024-07-06
BUG-1107,1.1.0,Reporting,Chart annotations not included in exported images,Medium,Fixed,9,12.1,2023-04-10,2023-06-19
BUG-1249,2.0.0,Payment Gateway,Duplicate charges on retry after network timeout,High,Reopened,16,30.4,2023-11-05,2023-12-05
BUG-1296,2.1.0,Data Analytics,Custom report builder crashes on nested group-by,Low,Fixed,2,1.6,2024-02-28,2024-03-31
BUG-1133,1.2.0,Reporting,PDF report generation fails for reports over 50 pages,Medium,Fixed,15,13.8,2023-07-20,2023-07-25
BUG-1244,2.0.0,Authentication,Session token expires prematurely during active use,High,Reopened,29,37.3,2023-11-05,2023-11-21
BUG-1184,1.2.0,Notification System,Bulk notification job times out for user base over 50k,Low,Open,1,13.8,2023-07-20,2023-09-09
BUG-1290,2.1.0,API Integration,Pagination cursor invalidated after record deletion,Medium,Reopened,4,19.7,2024-02-28,2024-04-09
BUG-1044,1.0.0,Payment Gateway,Duplicate charges on retry after network timeout,High,Fixed,33,23.7,2023-01-15,2023-01-28
BUG-1367,2.2.0,Data Analytics,Cohort analysis calculation off by one day,Medium,Reopened,9,27.3,2024-06-15,2024-06-19
BUG-1065,1.1.0,Dashboard,Filter panel collapsed state not persisted,Medium,Fixed,12,13.8,2023-04-10,2023-07-02
BUG-1085,1.1.0,Data Analytics,Dashboard metrics show incorrect date range on load,Medium,Open,4,26.3,2023-04-10,2023-05-13
BUG-1242,2.0.0,Data Analytics,Dashboard metrics show incorrect date range on load,Medium,Reopened,9,17.9,2023-11-05,2023-11-20
BUG-1186,1.2.0,Search Engine,Search results not updated after product price change,Low,Fixed,3,4.7,2023-07-20,2023-09-21
BUG-1159,1.2.0,Payment Gateway,Currency conversion rounding error in checkout,Medium,Fixed,9,8.4,2023-07-20,2023-10-01
BUG-1012,1.0.0,User Profile,Notification preferences reset after profile save,Medium,Fixed,8,5.3,2023-01-15,2023-02-18
BUG-1035,1.0.0,Data Analytics,Data refresh spinner never stops on error state,High,Fixed,36,9.8,2023-01-15,2023-02-12
BUG-1028,1.0.0,User Profile,Account deactivation still allows API access,Low,Fixed,5,6.5,2023-01-15,2023-04-01
BUG-1170,1.2.0,Reporting,Column sorting in table report resets on export,Medium,Fixed,9,4.3,2023-07-20,2023-08-17
BUG-1142,1.2.0,File Upload,Thumbnail generation fails for HEIC image format,Medium,Open,5,20.8,2023-07-20,2023-09-03
BUG-1318,2.1.0,Data Analytics,Funnel visualization missing intermediate steps,Medium,Fixed,5,13.5,2024-02-28,2024-04-11
BUG-1272,2.1.0,Notification System,Push notifications not delivered on iOS 16 devices,Medium,Fixed,5,6.0,2024-02-28,2024-04-07
BUG-1221,2.0.0,Authentication,Single sign-on redirect loop in Firefox,Medium,Fixed,14,8.5,2023-11-05,2023-12-11
BUG-1095,1.1.0,Reporting,Comparative report percentages exceed 100% due to rounding,Low,Reopened,4,10.1,2023-04-10,2023-07-05
BUG-1051,1.0.0,Notification System,Unsubscribe link in emails leads to 404 page,Low,Fixed,5,5.0,2023-01-15,2023-03-18
BUG-1240,2.0.0,Authentication,Login page freezes on slow network connections,High,Fixed,21,17.2,2023-11-05,2023-12-05
BUG-1298,2.1.0,Payment Gateway,Refund processing fails for orders older than 90 days,High,Fixed,39,17.7,2024-02-28,2024-05-10
BUG-1304,2.1.0,Reporting,Report query timeout causes partial data to be displayed,Medium,Fixed,11,7.2,2024-02-28,2024-05-12
BUG-1178,1.2.0,Notification System,Notification history not paginated correctly,Low,Fixed,1,5.6,2023-07-20,2023-08-11
BUG-1041,1.0.0,Reporting,Report access control does not inherit parent folder permissions,Medium,Open,6,25.0,2023-01-15,2023-03-08
BUG-1310,2.1.0,API Integration,Batch API endpoint fails silently on partial success,Low,Fixed,3,5.1,2024-02-28,2024-03-05
BUG-1206,2.0.0,Data Analytics,Heatmap colors inverted for negative values,High,Fixed,32,28.9,2023-11-05,2024-01-24
BUG-1254,2.0.0,Authentication,Brute force protection blocks legitimate users,High,Reopened,27,43.7,2023-11-05,2023-11-08
BUG-1331,2.2.0,Notification System,Notification template variables not replaced in subject line,Medium,Fixed,11,4.6,2024-06-15,2024-08-09
BUG-1004,1.0.0,Reporting,Report template variables not escaped in output,Medium,Fixed,15,12.6,2023-01-15,2023-02-04
BUG-1256,2.0.0,File Upload,File rename on upload strips special characters incorrectly,High,Reopened,12,57.0,2023-11-05,2023-12-16
BUG-1358,2.2.0,File Upload,File rename on upload strips special characters incorrectly,High,Reopened,31,57.7,2024-06-15,2024-08-20
BUG-1100,1.1.0,File Upload,File preview not shown for Excel files with macros,Medium,Open,15,15.0,2023-04-10,2023-06-02
BUG-1226,2.0.0,API Integration,API versioning not enforced for deprecated endpoints,Medium,Reopened,6,15.9,2023-11-05,2024-01-13
BUG-1341,2.2.0,Reporting,Report access control does not inherit parent folder permissions,Low,Fixed,1,1.7,2024-06-15,2024-08-17
BUG-1213,2.0.0,Reporting,Column sorting in table report resets on export,Medium,Reopened,10,26.8,2023-11-05,2023-11-23
BUG-1171,1.2.0,User Profile,Profile deletion does not remove associated data,Low,Fixed,2,1.4,2023-07-20,2023-08-10
BUG-1098,1.1.0,Data Analytics,Export to CSV truncates rows beyond 10000 records,Medium,Reopened,15,17.3,2023-04-10,2023-05-19
BUG-1215,2.0.0,Authentication,JWT token not invalidated on logout,Low,Reopened,3,11.7,2023-11-05,2023-11-25
BUG-1061,1.0.0,Notification System,Notification template variables not replaced in subject line,Low,Fixed,3,6.6,2023-01-15,2023-01-24
BUG-1047,1.0.0,File Upload,Download speed throttled unintentionally for free tier users,High,Fixed,14,8.2,2023-01-15,2023-03-25
BUG-1032,1.0.0,User Profile,Email update requires re-verification on each login,Low,Fixed,4,6.7,2023-01-15,2023-02-05
BUG-1267,2.0.0,API Integration,Rate limiting headers not returned in API responses,High,Reopened,26,48.0,2023-11-05,2023-12-20
BUG-1200,2.0.0,Authentication,Login page freezes on slow network connections,Low,Reopened,4,11.9,2023-11-05,2023-12-23
BUG-1356,2.2.0,Data Analytics,Funnel visualization missing intermediate steps,Medium,Fixed,4,11.8,2024-06-15,2024-08-09
BUG-1027,1.0.0,Notification System,Real-time notifications delayed by 5 minutes during peak hours,Medium,Reopened,12,16.8,2023-01-15,2023-03-03
BUG-1312,2.1.0,API Integration,Pagination cursor invalidated after record deletion,High,Fixed,24,23.6,2024-02-28,2024-05-22
BUG-1230,2.0.0,API Integration,API response schema changes break older client versions,Low,Fixed,3,1.5,2023-11-05,2023-12-25
BUG-1260,2.0.0,Payment Gateway,Currency conversion rounding error in checkout,High,Fixed,21,16.9,2023-11-05,2023-12-04
BUG-1288,2.1.0,API Integration,Rate limiting headers not returned in API responses,Low,Reopened,4,13.4,2024-02-28,2024-04-08
BUG-1162,1.2.0,Reporting,Report query timeout causes partial data to be displayed,High,Fixed,22,24.8,2023-07-20,2023-09-06
BUG-1370,2.2.0,Dashboard,KPI cards show NaN when denominator is zero,Medium,Fixed,9,6.5,2024-06-15,2024-07-20
BUG-1138,1.2.0,Notification System,Notification history not paginated correctly,Medium,Fixed,15,13.1,2023-07-20,2023-09-19
BUG-1062,1.1.0,File Upload,File preview not shown for Excel files with macros,Low,Fixed,5,7.0,2023-04-10,2023-04-19
BUG-1135,1.2.0,Dashboard,KPI cards show NaN when denominator is zero,Medium,Fixed,3,12.3,2023-07-20,2023-09-20
BUG-1128,1.2.0,File Upload,Virus scanning blocks legitimate PDF documents,High,Fixed,21,17.7,2023-07-20,2023-08-21
BUG-1008,1.0.0,Payment Gateway,Subscription renewal does not apply discount codes,Medium,Fixed,4,9.1,2023-01-15,2023-04-05
BUG-1064,1.1.0,Payment Gateway,Payment confirmation email delayed by over 10 minutes,Low,Fixed,3,2.7,2023-04-10,2023-06-05
BUG-1300,2.1.0,Data Analytics,Cohort analysis calculation off by one day,Low,Fixed,2,3.6,2024-02-28,2024-04-28
BUG-1014,1.0.0,User Profile,Bio field strips HTML entities incorrectly,Medium,Open,9,17.8,2023-01-15,2023-04-06
BUG-1156,1.2.0,Dashboard,Filter panel collapsed state not persisted,Low,Reopened,2,11.5,2023-07-20,2023-09-20
BUG-1040,1.0.0,Search Engine,Search results not updated after product price change,High,Fixed,16,23.6,2023-01-15,2023-03-29
BUG-1366,2.2.0,File Upload,Large file upload fails silently without error message,Medium,Fixed,5,3.7,2024-06-15,2024-09-05
BUG-1323,2.1.0,Reporting,Report scheduling UI does not show next run time,Medium,Fixed,14,7.8,2024-02-28,2024-04-20
BUG-1216,2.0.0,Payment Gateway,Invoice PDF generated with incorrect tax amounts,High,Fixed,30,29.7,2023-11-05,2023-12-13
BUG-1279,2.1.0,File Upload,Uploaded files not accessible after S3 bucket policy change,High,Fixed,39,21.0,2024-02-28,2024-04-21
BUG-1346,2.2.0,Dashboard,Embedded dashboard iframe resizes incorrectly,Medium,Fixed,15,13.9,2024-06-15,2024-08-24
BUG-1236,2.0.0,Authentication,Remember me functionality fails after browser restart,Low,Reopened,4,7.8,2023-11-05,2023-12-05
BUG-1207,2.0.0,File Upload,Download speed throttled unintentionally for free tier users,Medium,Fixed,3,9.8,2023-11-05,2023-12-05
BUG-1212,2.0.0,User Profile,Email update requires re-verification on each login,Low,Fixed,2,1.5,2023-11-05,2023-12-23
BUG-1295,2.1.0,Dashboard,Date picker defaults to wrong timezone for UTC users,Low,Fixed,5,4.1,2024-02-28,2024-04-12
BUG-1364,2.2.0,Payment Gateway,Subscription renewal does not apply discount codes,Medium,Fixed,8,8.6,2024-06-15,2024-09-09
BUG-1251,2.0.0,User Profile,Timezone setting ignored in activity timestamps,Medium,Fixed,11,4.3,2023-11-05,2023-11-13
BUG-1390,2.2.0,Reporting,Report query timeout causes partial data to be displayed,Medium,Fixed,5,4.9,2024-06-15,2024-09-02
BUG-1365,2.2.0,User Profile,Profile picture upload fails for images larger than 2MB,Low,Fixed,2,6.1,2024-06-15,2024-09-09
BUG-1303,2.1.0,Authentication,Login page freezes on slow network connections,Medium,Fixed,7,3.8,2024-02-28,2024-03-10
BUG-1269,2.1.0,Search Engine,Filters not applied when navigating back from detail page,Medium,Fixed,8,12.3,2024-02-28,2024-04-15
BUG-1201,2.0.0,API Integration,API versioning not enforced for deprecated endpoints,Medium,Reopened,10,27.5,2023-11-05,2023-11-21
BUG-1161,1.2.0,Payment Gateway,Payment confirmation email delayed by over 10 minutes,High,Fixed,15,19.8,2023-07-20,2023-09-11
BUG-1043,1.0.0,API Integration,Batch API endpoint fails silently on partial success,High,Fixed,37,26.9,2023-01-15,2023-01-21
BUG-1217,2.0.0,API Integration,Pagination cursor invalidated after record deletion,Low,Fixed,4,6.1,2023-11-05,2023-11-30
BUG-1190,1.2.0,Dashboard,Print view cuts off right side of charts,Low,Fixed,1,2.3,2023-07-20,2023-08-03
BUG-1309,2.1.0,File Upload,File rename on upload strips special characters incorrectly,High,Fixed,18,15.4,2024-02-28,2024-04-04
BUG-1259,2.0.0,Dashboard,Filter panel collapsed state not persisted,High,Fixed,37,18.6,2023-11-05,2023-12-30
BUG-1105,1.1.0,File Upload,File type validation bypassed with double extension trick,Medium,Fixed,15,8.1,2023-04-10,2023-06-16
BUG-1053,1.0.0,Reporting,Chart annotations not included in exported images,Medium,Fixed,3,11.2,2023-01-15,2023-01-22
BUG-1001,1.0.0,Dashboard,Date picker defaults to wrong timezone for UTC users,Medium,Fixed,12,7.6,2023-01-15,2023-01-18
BUG-1049,1.0.0,File Upload,Upload progress bar resets to zero on network interruption,Low,Fixed,4,6.4,2023-01-15,2023-02-05
BUG-1080,1.1.0,Search Engine,Boolean operators AND/OR not supported in query string,Medium,Fixed,5,11.7,2023-04-10,2023-04-23
BUG-1205,2.0.0,Data Analytics,Scheduled report delivery fails on weekends,Medium,Reopened,14,19.6,2023-11-05,2023-11-15
BUG-1034,1.0.0,Dashboard,Dashboard loads blank on first visit after cache clear,Low,Reopened,3,9.8,2023-01-15,2023-04-10
BUG-1263,2.0.0,User Profile,Bio field strips HTML entities incorrectly,Medium,Fixed,4,4.0,2023-11-05,2023-11-15
BUG-1091,1.1.0,Notification System,Real-time notifications delayed by 5 minutes during peak hours,High,Reopened,27,50.0,2023-04-10,2023-05-21
BUG-1339,2.2.0,Dashboard,Print view cuts off right side of charts,High,Fixed,15,24.9,2024-06-15,2024-07-15
BUG-1052,1.0.0,User Profile,Address fields accept invalid postal codes,High,Fixed,26,12.0,2023-01-15,2023-01-22
BUG-1345,2.2.0,Payment Gateway,PayPal integration breaks on sandbox environment,Medium,Fixed,8,3.7,2024-06-15,2024-08-21
BUG-1264,2.0.0,Payment Gateway,Subscription renewal does not apply discount codes,Low,Reopened,1,12.2,2023-11-05,2023-12-22
BUG-1241,2.0.0,Data Analytics,Export to CSV truncates rows beyond 10000 records,Medium,Fixed,13,7.0,2023-11-05,2024-01-26
BUG-1013,1.0.0,Payment Gateway,3D Secure authentication not triggered for high-value orders,Medium,Fixed,13,4.9,2023-01-15,2023-02-15
BUG-1315,2.1.0,API Integration,API versioning not enforced for deprecated endpoints,High,Reopened,13,39.3,2024-02-28,2024-04-16
BUG-1088,1.1.0,Payment Gateway,Subscription renewal does not apply discount codes,High,Fixed,20,12.9,2023-04-10,2023-07-09
BUG-1273,2.1.0,Data Analytics,Cohort analysis calculation off by one day,Low,Fixed,1,2.1,2024-02-28,2024-03-17
BUG-1166,1.2.0,Search Engine,Autocomplete suggestions include deleted items,Low,Fixed,5,1.5,2023-07-20,2023-07-20
BUG-1328,2.1.0,API Integration,API versioning not enforced for deprecated endpoints,Medium,Fixed,6,11.8,2024-02-28,2024-03-16
BUG-1393,2.2.0,Search Engine,Typo correction overrides intentional user input,Medium,Fixed,9,9.8,2024-06-15,2024-06-18
BUG-1134,1.2.0,Data Analytics,Heatmap colors inverted for negative values,Medium,Fixed,9,10.3,2023-07-20,2023-07-28
BUG-1306,2.1.0,Search Engine,Fuzzy search returns irrelevant results for short terms,Medium,Open,12,20.7,2024-02-28,2024-03-18
BUG-1383,2.2.0,File Upload,Download speed throttled unintentionally for free tier users,High,Reopened,30,33.9,2024-06-15,2024-08-24
BUG-1319,2.1.0,File Upload,Upload progress bar resets to zero on network interruption,Medium,Fixed,6,14.0,2024-02-28,2024-03-18
BUG-1243,2.0.0,File Upload,Virus scanning blocks legitimate PDF documents,Low,Fixed,2,4.9,2023-11-05,2024-01-20
BUG-1054,1.0.0,Authentication,Single sign-on redirect loop in Firefox,Medium,Open,10,21.0,2023-01-15,2023-03-23
BUG-1050,1.0.0,API Integration,Rate limiting headers not returned in API responses,Low,Fixed,4,2.6,2023-01-15,2023-03-14
BUG-1174,1.2.0,API Integration,Pagination cursor invalidated after record deletion,Medium,Fixed,11,8.9,2023-07-20,2023-09-14
BUG-1189,1.2.0,Reporting,Column sorting in table report resets on export,High,Fixed,18,14.1,2023-07-20,2023-07-21
BUG-1397,2.2.0,Search Engine,Fuzzy search returns irrelevant results for short terms,Low,Reopened,5,8.0,2024-06-15,2024-07-25
BUG-1187,1.2.0,File Upload,Large file upload fails silently without error message,Low,Fixed,2,2.6,2023-07-20,2023-08-05
BUG-1169,1.2.0,Payment Gateway,Payment confirmation email delayed by over 10 minutes,High,Open,24,53.6,2023-07-20,2023-10-08
BUG-1058,1.0.0,Reporting,PDF report generation fails for reports over 50 pages,High,Fixed,34,22.1,2023-01-15,2023-03-28
BUG-1048,1.0.0,Authentication,Password reset email not sent to registered users,High,Fixed,23,10.8,2023-01-15,2023-03-18
BUG-1344,2.2.0,Data Analytics,Real-time chart not updated when new data arrives,High,Fixed,34,11.3,2024-06-15,2024-09-08
BUG-1235,2.0.0,File Upload,Concurrent uploads from same user cause file corruption,Low,Reopened,4,7.8,2023-11-05,2023-11-10
BUG-1252,2.0.0,File Upload,File rename on upload strips special characters incorrectly,Medium,Fixed,15,7.0,2023-11-05,2024-01-19
BUG-1021,1.0.0,Dashboard,Dashboard sharing link expires too quickly,Low,Reopened,1,12.3,2023-01-15,2023-01-29
BUG-1313,2.1.0,Reporting,Report scheduling UI does not show next run time,Medium,Fixed,8,3.9,2024-02-28,2024-05-22
BUG-1160,1.2.0,Authentication,OAuth2 callback URL mismatch causing login failure,High,Reopened,17,54.3,2023-07-20,2023-08-27
BUG-1276,2.1.0,Data Analytics,Custom report builder crashes on nested group-by,Medium,Fixed,8,6.4,2024-02-28,2024-04-09
BUG-1191,1.2.0,File Upload,Virus scanning blocks legitimate PDF documents,Medium,Reopened,13,25.7,2023-07-20,2023-09-21
BUG-1293,2.1.0,API Integration,API response schema changes break older client versions,Low,Fixed,1,3.4,2024-02-28,2024-04-07
BUG-1343,2.2.0,Search Engine,Autocomplete suggestions include deleted items,Medium,Fixed,7,7.7,2024-06-15,2024-09-01
BUG-1257,2.0.0,Reporting,Report scheduling UI does not show next run time,Low,Open,1,7.9,2023-11-05,2024-01-23
BUG-1308,2.1.0,Payment Gateway,PayPal integration breaks on sandbox environment,Low,Fixed,2,1.2,2024-02-28,2024-05-28
BUG-1149,1.2.0,API Integration,API response schema changes break older client versions,High,Open,29,40.6,2023-07-20,2023-09-16
BUG-1130,1.2.0,User Profile,Profile deletion does not remove associated data,Medium,Reopened,4,22.1,2023-07-20,2023-08-28
BUG-1151,1.2.0,Data Analytics,Export to CSV truncates rows beyond 10000 records,Medium,Fixed,14,8.9,2023-07-20,2023-10-16
BUG-1359,2.2.0,Notification System,Email digest sends duplicate notifications for same event,Low,Fixed,4,1.5,2024-06-15,2024-08-31
BUG-1099,1.1.0,Search Engine,Search indexing lag causes stale results up to 30 minutes,High,Fixed,17,7.6,2023-04-10,2023-05-11
BUG-1372,2.2.0,Dashboard,Print view cuts off right side of charts,Low,Reopened,5,7.8,2024-06-15,2024-07-18
BUG-1087,1.1.0,API Integration,API timeout set to 30s but client receives 10s error,High,Fixed,28,17.0,2023-04-10,2023-06-14
BUG-1330,2.2.0,Dashboard,Date picker defaults to wrong timezone for UTC users,Low,Reopened,3,7.6,2024-06-15,2024-07-05
BUG-1214,2.0.0,Search Engine,Pagination breaks when search query contains special characters,Medium,Fixed,13,5.8,2023-11-05,2023-12-07
BUG-1121,1.2.0,Reporting,Monthly report includes data from previous month,High,Fixed,13,21.8,2023-07-20,2023-08-06
BUG-1399,2.2.0,Dashboard,Date picker defaults to wrong timezone for UTC users,Medium,Reopened,8,17.4,2024-06-15,2024-06-30
BUG-1020,1.0.0,Reporting,Scheduled report sent to deactivated email accounts,Low,Fixed,3,2.3,2023-01-15,2023-02-01
BUG-1188,1.2.0,Notification System,Notification template variables not replaced in subject line,High,Open,39,33.6,2023-07-20,2023-10-08
BUG-1071,1.1.0,Payment Gateway,Subscription renewal does not apply discount codes,High,Fixed,25,8.0,2023-04-10,2023-05-22
BUG-1106,1.1.0,Dashboard,Dark mode toggle resets to light on page refresh,Medium,Fixed,8,13.5,2023-04-10,2023-06-05
BUG-1270,2.1.0,Payment Gateway,Card validation fails for valid Amex cards,High,Fixed,22,25.6,2024-02-28,2024-05-09
BUG-1348,2.2.0,Data Analytics,Funnel visualization missing intermediate steps,Low,Fixed,1,3.1,2024-06-15,2024-06-23
BUG-1102,1.1.0,User Profile,Profile picture upload fails for images larger than 2MB,Medium,Open,15,26.0,2023-04-10,2023-04-23
